Left context,Center,Right context,Created,Sphere,Type,Full context
бы мурластый майор- паспортист бородку, а-ля ,юная Франция да и отдирал на ,2006,"нехудожественная, электронная коммуникация",форум,"А ведь чего проще, отпустил бы мурластый майор- паспортист бородку а-ля юная Франция да и отдирал на танцплощадке, стекленея лубяными зенками, вот бы все и сгорели со стыда, хороводы завели и подблюдны песни запели.   [ICQ+QIP+Miranda (2006)] [омонимия не снята]"
мундштуки- самоделки военного образца; бородка, а-ля ,"марксист- аграрник, а зеркалом души ― мутные ",2006,"нехудожественная, электронная коммуникация",форум,"Однако тотчас возник "" тромб"", не давешний, не блуждающий, а в костюме-тройке и в белой сорочке при ортодоксальном галстуке; на пиджаке ― цветные планки, забранные в плексиглас и потому похожие на мундштуки- самоделки военного образца; бородка а-ля марксист- аграрник, а зеркалом души ― мутные глаза снулой рыбины.   [ICQ+QIP+Miranda (2006)] [омонимия не снята]"
"штаб-офицер, вероятно, утратил бы изысканную,", а-ля ,"Бенкендорф, вежливость, если бы и синие ",2006,"нехудожественная, электронная коммуникация",форум,"Жандармский штаб-офицер, вероятно, утратил бы изысканную, а-ля Бенкендорф, вежливость, если бы и синие тюльпаны не налегли на вёсла. [ICQ+QIP+Miranda (2006)] [омонимия не снята]"
"однако пристально разглядеть припаркованную автомашину,", а-ля ,Трианона и его спутницу им не ,2012,художественная,роман,"Американские разведчики проехали мимо, слегка притормозили, однако пристально разглядеть припаркованную автомашину, а-ля Трианона и его спутницу им не позволил поток машин, в котором они двигались. [Екатерина Завершнева. Высотка (2012)] [омонимия не снята]"
"Надо сказать, что планировка сада «", а-ля ,Поуп» у любителей английского садового дизайна ,2014,"нехудожественная, электронная коммуникация","блог, комментарии","Надо сказать, что планировка сада « а-ля Поуп» у любителей английского садового дизайна остается востребованной и сегодня.   [коллективный. Есть ли разница ― работать в аутсорсе или в продуктовой компании? Мнения из Яндекса в Нижнем Новгороде (2014)] [омонимия не снята]"
"наполнен красивыми медленными мелодиями, бухающими «", а-ля ,"шестидесятые» барабанами, нарочито наивными « битловскими» гитарными ",2002,"нехудожественная, публицистика",заметка,"Этот меланхоличный альбом наполнен красивыми медленными мелодиями, бухающими « а-ля шестидесятые» барабанами, нарочито наивными « битловскими» гитарными партиями, элегантными струнными и классическими для английского рока аранжировочными приемами. [Модные Новости // «Домовой», 2002.06.04] [омонимия не снята]"
"с максимальным комфортом, вытянув ноги", а-ля ,Филипп Киркоров: появление длинных автомобилей в ,2002,"нехудожественная, публицистика",статья,"На тесте « короткие» Espace были представлены с сиденьями только в два ряда, что дало возможность « откатить» среднее кресло второго ряда до упора назад и расположиться в нем с максимальным комфортом, вытянув ноги а-ля Филипп Киркоров: появление длинных автомобилей в его гараже певец объясняет своим недюжинным ростом, хотя поклонники Фрейда наверняка с ним бы поспорили.   [Анна Глебова. Мама, я повара люблю! // «Домовой», 2002.05.04] [омонимия не снята]"
"только в ней, известны блинчики «", А-ля ,Гундель».,1987-1998,"нехудожественная, публицистика",интервью,"В Венгрии, да теперь не только в ней, известны блинчики « А-ля Гундель». [Александр Розенбаум. Бультерьер (1987-1998)] [омонимия не снята]"
Блинчики «, А-ля ,Гундель»   ,1987-1998,"нехудожественная, публицистика",интервью,Блинчики « А-ля Гундель»    [Александр Розенбаум. Бультерьер (1987-1998)] [омонимия не снята]
"Совершенно секретно» читают, и съемки", а-ля ,мой министр Ковалев в бане у ,1998-1999,художественная,повесть,"Все-таки хорошо дружить с автором сценария: ваши герои и нашу газету  « Совершенно секретно» читают, и съемки а-ля мой министр Ковалев в бане у вас происходят… [Анатолий Найман. Любовный интерес (1998-1999)] [омонимия не снята]"
был традиционный для таких встреч, а-ля ,фуршет.,1999-2000,"нехудожественная, публицистика",мемуары,После беседы был традиционный для таких встреч а-ля фуршет. [Евгений Рубин. Пан или пропал. Жизнеописание (1999-2000)] [омонимия не снята]
Стерлядь, а-ля ,"рюс, а то так форель с ",2002,художественная,рассказ,"Стерлядь а-ля рюс, а то так форель с раковым соусом.   [Людмила Улицкая. Цю-юрихь // «Новый Мир», 2002] [омонимия не снята]"
"бы не коротенькая, седеющая, клинышком,", а-ля ,"Генрих IV, бородка, отпущенная им после ",1930,художественная,мемуары,"В комнату легкой юношеской походкой вошел чрезвычайно подвижный японец, которому я с трудом дал бы его сорок восемь лет, если бы не коротенькая, седеющая, клинышком, а-ля Генрих IV, бородка, отпущенная им после выхода из тюрьмы. [Андрей Белый. Начало века (1930)] [омонимия не снята]"
клетчатом костюме и с бородкой, а-ля ,"Генрих IV, его жена в берете ",1930,художественная,мемуары,"Там, кроме самого хозяина, молодого крестьянина, одетого в кокумин и не сидевшего за столом, а прислуживавшего гостям, находилось следующее общество: сам старший Хидзиката в клетчатом костюме и с бородкой а-ля Генрих IV, его жена в берете и лыжных штанах и господин Накамура, пожилой и весьма респектабельный человек, бывший раньше заведующим литературным отделом в « Асахи», а теперь, после эвакуации из Токио, живший здесь в [Андрей Белый. Начало века (1930)] [омонимия не снята]"
народными « чувствилищами» или карнавальными телами, а-ля ,"Бахтин, а с возможностями современной индустриальной ",2002,"нехудожественная, публицистика",комментарий,"Формальные эксперименты комфутуристов были мотивированы потребностью установления в новой городской среде коллективных способов восприятия и коммуникации, которые они связывали не с мистическими народными « чувствилищами» или карнавальными телами а-ля Бахтин, а с возможностями современной индустриальной техники и таких массовых медиа, как газета, фотография и кино2.   [Максим Соколов. 21.IX -- 27.IX // «Известия», 2002.09.27] [омонимия снята]"
упрекнув Гамана в социологическом редукционизме, а-ля ,"О. Шпенглер, который пытался свести все ",2002,"нехудожественная, публицистика",комментарий,"Вместе с тем Попов указал и на ряд опасностей подобного подхода, упрекнув Гамана в социологическом редукционизме а-ля О. Шпенглер, который пытался свести все духовные процессы своего времени к единой логике, резко противопоставляя одну культурную эпоху другой и грозя апокалипсисом.   [Максим Соколов. 21.IX -- 27.IX // «Известия», 2002.09.27] [омонимия снята]"
критике итальянских футуристов и кинематограф, а-ля ,"Лени Рифеншталь за эстетизацию нацистской политики, ",2002,"нехудожественная, публицистика",комментарий,"Беньямин подвергал в этом плане принципиальной критике итальянских футуристов и кинематограф а-ля Лени Рифеншталь за эстетизацию нацистской политики, создание культовых символов и имитацию ауры, принципиально преодоленной в условиях технической репродукции.   [Максим Соколов. 21.IX -- 27.IX // «Известия», 2002.09.27] [омонимия снята]"
"на постамент и принимали позы """, а-ля ,"себя творцы истории"".",2002,"нехудожественная, публицистика",интервью,"Конгресс начался в Юсуповском дворце, а затем переместился на Манежную площадь, где прошла акция "" Я― памятник себе…"" ― писатели бодро взгромождались на постамент и принимали позы "" а-ля себя творцы истории"". [Юлия Кантор. Борис Стругацкий: «Хочется жить, если ты молод, здоров и не подлежишь призыву в армию» // «Известия», 2002.09.27] [омонимия снята]"
две недели с загипсованной рукой «, а-ля ,"хайль- Гитлер», жрал мумие.",1988-1989,художественная,роман,"Я ходил две недели с загипсованной рукой « а-ля-хайль- Гитлер», жрал мумие. [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]"
"ускользающую нить, я чувствовал себя «", а-ля ,"Андроников», только речь шла не о ",1988-1989,художественная,роман,"Приехав в Муром, опрашивая людей, разыскивая ускользающую нить, я чувствовал себя « а-ля Андроников», только речь шла не о ком-то чужом, пусть дорогом ― поэте ли, историческом персонаже, ― а речь шла о тебе, о твоем прошлом, о судьбе. [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]"
"В шутовстве этом, в буффонаде", а-ля ,20- е годы он хотел повернуть ,1988-1989,художественная,роман,"В шутовстве этом, в буффонаде а-ля 20- е годы он хотел повернуть время вспять, будто снял деспотичное табу, будто расковался, но волчье одиночество проглядывало сквозь это ледяное какое-то безумство.   [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]"
"куревом, студенческим бытом кувырком, бородищами «", а-ля ,"Аввакум», лыжными верхотурами холмов и вечнозелеными ",1988-1989,художественная,роман,"Ванкувер аукается с воркующими нахохленными особняками, белокурым заливом, запретным куревом, студенческим бытом кувырком, бородищами « а-ля Аввакум», лыжными верхотурами холмов и вечнозелеными парками- вековухами, небоскребами с антисейсмическими фундаментами в задах, как ваньки-встаньки, с лесным « ку-ку» и людским « откуда вы?»  [Юрий Давыдов. Синие тюльпаны (1988-1989)] [омонимия снята]"
со лба длинные черные пряди, а-ля ,Маяковский.,2002,"нехудожественная, публицистика",обзор,"Олег Степанов, без сомнения, слышал эти высказывания я смело отмахнул со лба длинные черные пряди а-ля Маяковский. [Большие надежды // «Домовой», 2002.05.04] [омонимия не снята]"
Луч нацепил на нос пенсне, а-ля ,Чехов и стал читать журналистам какой-то ,2002,"нехудожественная, публицистика",обзор,"Луч нацепил на нос пенсне а-ля Чехов и стал читать журналистам какой-то очередной стейтмент. [Большие надежды // «Домовой», 2002.05.04] [омонимия не снята]"
Два плейбоя с усами, а-ля ,Риимс нагло улыбались и протягивали ей ,2002,"нехудожественная, публицистика",обзор,"Два плейбоя с усами а-ля Риимс нагло улыбались и протягивали ей свои карточки. [Большие надежды // «Домовой», 2002.05.04] [омонимия не снята]"
Вы должны сделать усики, а-ля ,"Адольф Менжу, быть серьезным в самых ",2001,художественная,роман,"Вы должны сделать усики а-ля Адольф Менжу, быть серьезным в самых комедийных ситуациях, как Бастер Китон, на которого вы, кстати, внешне очень похожи, действовать по системе Станиславского, чему я вас научу, ― и роль в кармане!    [Елизавета Козырева. Дамская охота (2001)] [омонимия не снята]"
"отставке», тоже скверно, однако уже", а-ля ,"Охлопков, ― флюгеря по моде, продиктованной шефом.",2001,художественная,роман,"Поставил « Вишневый сад» Чехова, ниже всякой критики, но вполне традиционно, а потом « Человека в отставке», тоже скверно, однако уже а-ля Охлопков, ― флюгеря по моде, продиктованной шефом. [Елизавета Козырева. Дамская охота (2001)] [омонимия не снята]"
"контраста, ― служит выгодным фоном, ставя «", а-ля ,Охлопков».  ,2001,художественная,роман,"Проработав три года в театре Маяковского, я более или менее разобрался в том, что Зотова ― это просто-напросто Охлопков, Кашкин ― при Охлопкове, Дудин нужен для откровенно конъюнктурных постановок и заодно для контраста, ― служит выгодным фоном, ставя « а-ля Охлопков».   [Елизавета Козырева. Дамская охота (2001)] [омонимия не снята]"
"волосы по моде 60- х, «", а-ля ,"Хэм», черные живые глаза, в узкой ",2001,художественная,роман,"Седые, коротко стриженные волосы по моде 60- х, « а-ля Хэм», черные живые глаза, в узкой смуглой руке трубка. [Елизавета Козырева. Дамская охота (2001)] [омонимия не снята]"
через двенадцать я наконец оделся, а-ля ,Миллер.,2001,художественная,роман,"Словом, лет через двенадцать я наконец оделся а-ля Миллер. [Елизавета Козырева. Дамская охота (2001)] [омонимия не снята]"
"разночинец, опустив взор в тротуар,", а-ля ,"вангоговский треух окружал желтую физиономию, бесстрашно ",1998,"нехудожественная, публицистика",мемуары,"Молодой разночинец, опустив взор в тротуар, а-ля вангоговский треух окружал желтую физиономию, бесстрашно окунал в стихию снега и воды ремесленные ботинки. [Олег Гриневский. Восток ― дело тонкое (1998)] [омонимия не снята]"
"тысяч слов, после безумных пьяных", а-ля ,"Достоевский бесед о смысле жизни, если ",1998,"нехудожественная, публицистика",мемуары,"Неизвестно до чего они могли бы дойти, может быть и до убийства, кто знает, после сотен бутылок вина и сотен тысяч слов, после безумных пьяных а-ля Достоевский бесед о смысле жизни, если бы вдруг случай не помог разрядить атмосферу, заменив назревающую трагедию всего лишь фарсом.   [Олег Гриневский. Восток ― дело тонкое (1998)] [омонимия не снята]"
"бодро, только подсознательно прихрамывая вдруг", а-ля ,Лора.,1998,"нехудожественная, публицистика",мемуары,"Гуляка праздный пьян, хотя и держится привычно бодро, только подсознательно прихрамывая вдруг а-ля Лора. [Олег Гриневский. Восток ― дело тонкое (1998)] [омонимия не снята]"
"аду, полном расторопных и поджарых", а-ля ,шеф поварят обоего пола.,1999,"нехудожественная, публицистика",мемуары,"спросил герр Линднер, в своей святая святых ― хромово- никелевом парном аду, полном расторопных и поджарых а-ля шеф поварят обоего пола. [Евгений Евтушенко. «Волчий паспорт» (1999)] [омонимия не снята]"
вешалку в рукава малинового пиджака «, а-ля ,новый русский».,2000,художественная,роман,"Все в руке Божьей, ― вздохнул Слава, осторожно вдевая самодельную вешалку в рукава малинового пиджака « а-ля новый русский». [Андрей Троицкий. Удар из прошлого (2000)] [омонимия не снята]"
Вереница остро вычерченных сцен, а-ля ,плакаты « Окон РОСТА» погружает в атрибутику ,1998,"нехудожественная, публицистика",мемуары,Вереница остро вычерченных сцен а-ля плакаты « Окон РОСТА» погружает в атрибутику советского абсурда. [Андрей Вознесенский. На виртуальном ветру (1998)] [омонимия не снята]
Тут вам и гравюроподобная картинка, а-ля ,"Сонная лощина», восточные единоборства, индейская психоделика, ",2011,"нехудожественная, публицистика",репортаж,"Тут вам и гравюроподобная картинка а-ля «Сонная лощина», восточные единоборства, индейская психоделика, чуток « Собаки Баскервилей» вперемешку с  « 13- м воином», много « плаща и шпаги», рапидов имени Джона Ву. [Дарья Золотухина. Как ссорились чиновники с учителями // «Русский репортер», № 34 (212), 1 сентября 2011] [омонимия не снята]"
украшать пальто большим воротником- шалью «, а-ля ,Шаляпин» и… покупать очередную шубку любимой ,2013.05.17,"нехудожественная, публицистика",статья,"За мужчинами сохраняется право носить пальто и плащи на меховой подстежке, украшать пальто большим воротником- шалью « а-ля Шаляпин» и… покупать очередную шубку любимой женщине.   [Анна Мельникова. Без джинсы (2013.05.17) // «Новгородские ведомости», 2013] [омонимия не снята]"
Га-, а-ля ,,1874,художественная,рассказ,Га- а-ля!    [Н. А. Лейкин. Из записной книжки отставного приказчика Касьяна Яманова (1874)] [омонимия не снята]
"оказалась коротко, по французской моде,", а-ля ,"Титус, остриженной.",1881,художественная,рассказ,"Голова говорившего оказалась коротко, по французской моде, а-ля Титус, остриженной. [Н. А. Лейкин. На хрен да на редьку, на кислую капусту (1881)] [омонимия не снята]"
Под короткой стрижкой, а-ля ,Брехт носил он ненашенские очки.  ,1921,художественная,роман,Под короткой стрижкой а-ля Брехт носил он ненашенские очки.   [И. Г. Эренбург. Необычайные похождения Хулио Хуренито (1921)] [омонимия не снята]
в тоненьком пиджачке с галстухом, а-ля ,"Тифлис, держит ногу на табуретке, на ",1921,художественная,роман,"Следующий скетч Юстинаускаса: Кукуш Лапидарьевич Октава, единственный в тоненьком пиджачке с галстухом а-ля Тифлис, держит ногу на табуретке, на колене гитара, лоб высоченный, тончайший усик. [И. Г. Эренбург. Необычайные похождения Хулио Хуренито (1921)] [омонимия не снята]"
растрепанных усато- бородатых устроили выставку, а-ля ,пленэр на пустыре посреди новой застройки.,1921,художественная,роман,Однажды больше сотни растрепанных усато- бородатых устроили выставку а-ля пленэр на пустыре посреди новой застройки. [И. Г. Эренбург. Необычайные похождения Хулио Хуренито (1921)] [омонимия не снята]
он носил не щегольскую бородку, а-ля ,"ван Дейк, а простую, как носят ",1923,художественная,роман,"В отличие от саудовских аристократов он носил не щегольскую бородку а-ля ван Дейк, а простую, как носят муллы. [И. С. Шмелев. Солнце мертвых (1923)] [омонимия не снята]"
"приобрел он модную шляпу, этакую", а--ля ,"тироль, в пятнах и клетках, будто ",1925-1935,"нехудожественная, публицистика",мемуары,"Когда― то и где― то приобрел он модную шляпу, этакую а--ля тироль, в пятнах и клетках, будто бы из кожи змеи анаконды сделанную, сверху по материи вроде как соплями измазанную. [В. В. Вересаев. Воспоминания (1925-1935)] [омонимия не снята]"
А немец- то: «, а-ля ,ля!»  ,1975-1977,художественная,роман,А немец- то: « а-ля-ля!»   [В. П. Катаев. Алмазный мой венец (1975-1977)] [омонимия снята]
"всем комнатам маскированные, у столов ―", а-ля ,"фуршет, хватай, на что глаза глядят, ― ",2004,"нехудожественная, публицистика",обзор,"Гремела музыка, крутились танцующие пары, сновали по всем комнатам маскированные, у столов ― а-ля фуршет, хватай, на что глаза глядят, ― всем весело, всем не до сна, а Кэтти спит, не улыбнется.   [Х. Ботаник. Байда: Музыка // «Хулиган», 2004.06.15] [омонимия не снята]"
"в режиме онлайн сообщения перехватывает,", а-ля ,сниффера.,1965,художественная,повесть,"Там не в хистори дело- то, там в проге, которая в режиме онлайн сообщения перехватывает, а-ля сниффера. [Михаил Анчаров. Золотой дождь (1965)] [омонимия не снята]"
Для меня сшили черный колет «, а-ля ,"Ромео», черные трико, туфли- лодочки.",2005,"нехудожественная, электронная коммуникация",форум,"Для меня сшили черный колет « а-ля Ромео», черные трико, туфли- лодочки. [Наши дети: Дошколята и младшие школьники (форум) (2005)] [омонимия не снята]"
"парик, светлые усы с бородкой", а-ля ,Столяров в фильме « Царевна- лягушка» ― по ,2005,"нехудожественная, электронная коммуникация",форум,"Светлый парик, светлые усы с бородкой а-ля Столяров в фильме « Царевна- лягушка» ― по крайней мере я так решал этот образ.   [Наши дети: Дошколята и младшие школьники (форум) (2005)] [омонимия не снята]"
"напуском при куцом пиджачке, бородка", а-ля ,Фемистофель.,2001,"нехудожественная, публицистика",статья,"Не узнают дядю Егора его ученики: брюки с напуском при куцом пиджачке, бородка а-ля Фемистофель. [Говорил и показывал Президент // «Известия», 2001.12.24] [омонимия не снята]"
Романовне шили гардероб домашний и, а-ля ,променад.,2001,"нехудожественная, публицистика",статья,"Об эту пору мы молодого Маляхина супруге Настасье Романовне шили гардероб домашний и а-ля променад. [Говорил и показывал Президент // «Известия», 2001.12.24] [омонимия не снята]"
сестрицей подолы на голову закинули, а-ля ,помпадур и потрепали за Катей.,2001,"нехудожественная, публицистика",статья,"Хионья заревела, а мы с сестрицей подолы на голову закинули а-ля помпадур и потрепали за Катей. [Говорил и показывал Президент // «Известия», 2001.12.24] [омонимия не снята]"
"фуро, у меня прозаический чепец", а-ля ,"Фигаро, а Катя всегда комильфо и ",2001,"нехудожественная, публицистика",статья,"У моей сестрицы новой выдумки нарядное фуро, у меня прозаический чепец а-ля Фигаро, а Катя всегда комильфо и бьен ганте.   [Говорил и показывал Президент // «Известия», 2001.12.24] [омонимия не снята]"
, А-ля ,"Потакайте ребенку и будет все хорошо"".",2001,"нехудожественная, публицистика",статья,"А-ля ""Потакайте ребенку и будет все хорошо"". [Юлия Кантор. Воланд, которого нет. Литовский спектакль «Мастер и Маргарита» обещал стать сенсационным. Не стал // «Известия», 2001.10.08] [омонимия не снята]"
блузке и с конским хвостиком, а-ля ,отличница из 80- х поднялась Канделаки.  ,2014,"нехудожественная, учебно-научная",монография,"Наконец на сцену размашистым шагом, в белой блузке и с конским хвостиком а-ля отличница из 80- х поднялась Канделаки.   [И. М. Чубаров. Коллективная чувственность: теории и практики левого авангарда (2014)] [омонимия не снята]"
в клубе  « по максимуму» ― диваны, а-ля ,"Филипп Старк, старинные итальянские маски на ",2000,художественная,роман,"Зато все остальное в клубе  « по максимуму» ― диваны а-ля Филипп Старк, старинные итальянские маски на стенах и выложенные мозаикой столы.   [Ольга Некрасова. Платит последний (2000)] [омонимия не снята]"
"рисованием, ага), но над моментами", а-ля ,"кто-то упал, а на него сверху"", ",2000,художественная,роман,"Напрягло то, что зал смеялся не над ироничностью Старка ( в том числе не над моментом с рисованием, ага), но над моментами а-ля ""кто-то упал, а на него сверху"", хотя и версии таких моментов в фильме были не такими тривиальными. [Максим Милованов. Естественный отбор (2000)] [омонимия не снята]"
"тетки лет 50, с проблемами", а-ля ,Брежнев и его наследие.,2003,"нехудожественная, публицистика",очерк,"Счастливый ребенок лучшне все выучит, чем замордованный « заслуженной», нетворческой, тетки лет 50, с проблемами а-ля Брежнев и его наследие. [Борис Родоман. Башкирия: начало пути // «Отечественные записки», 2003] [омонимия не снята]"
"Еда на 3-, хотя,", а-ля ,шведский стол.,1934,"нехудожественная, публицистика",мемуары,"Еда на 3-, хотя, а-ля шведский стол. [В. П. Аничков. Екатеринбург – Владивосток (1917-1922) (1934)] [омонимия не снята]"
"Возможно, одновременно пописывал бы рассказики", а-ля ,"Пруст, читал бы французским друзьям в ",1927-1944,художественная,роман,"Возможно, одновременно пописывал бы рассказики а-ля Пруст, читал бы французским друзьям в Клозери да Лила или в тесной мансарде в Маре.   [И. С. Шмелев. Лето Господне (1927-1944)] [омонимия не снята]"
чужие этому городу стеклянные башни «, а-ля ,"Нью-Йорк» пятнадцатого аррондисмана, по-русски района.",1927-1944,художественная,роман,"А за полотном, вдоль набережной Андрэ Ситроен, торчали такие чужие этому городу стеклянные башни « а-ля Нью-Йорк» пятнадцатого аррондисмана, по-русски района. [И. С. Шмелев. Лето Господне (1927-1944)] [омонимия не снята]"
С головы ―, а-ля ,"мужик,  	 С рыла ― а-ля- барин!   ",1925-1928,"нехудожественная, публицистика",мемуары,"С головы ― а-ля-мужик,  	 С рыла ― а-ля- барин!    [К. С. Станиславский. Моя жизнь в искусстве (1925-1928)] [омонимия не снята]"
"Устроили маленькие столики,", а-ля ,"фуршет, Саратовский играл на рояле, а ",2006-2007,"нехудожественная, электронная коммуникация",форум,"Устроили маленькие столики, а-ля фуршет, Саратовский играл на рояле, а мы пели и танцевали до утра.   [Дети индиго (обсуждение публикации) (форум) (2006-2007)] [омонимия не снята]"
"вахмистра, он сердито шевельнул усами", а-ля ,Вильгельм.  ,2010,"нехудожественная, электронная коммуникация",форум,"Увидев вахмистра, он сердито шевельнул усами а-ля Вильгельм.   [коллективный. Форум: Об автоматическом (безоговорочном) признании ПВО (2010)] [омонимия не снята]"
умопомрачительного воляпюка с псевдомодернистской стилистикой, а-ля ,Дос- Пассос ( вспомните хотя бы многозначительные « ,1997,"нехудожественная, публицистика",заметка,"К сожалению, сочетание этого умопомрачительного воляпюка с псевдомодернистской стилистикой а-ля Дос- Пассос ( вспомните хотя бы многозначительные « наплывы») порождает такую словесную мешанину, переварить которую едва ли в состоянии самая всеядная читательская аудитория.»    [Дорогая моя столица // «Столица», 1997.10.13] [омонимия не снята]"
"наоборот, ужесточает санкции против отказывающихся (", а-ля ,мексиканский вариант).,1995,художественная,роман,"Насколько я поняла ― сейчас в Верховной раде лежат два законопроекта по вакцинации: один закрепляет добровольность в отношении прививок, другой ― наоборот, ужесточает санкции против отказывающихся ( а-ля мексиканский вариант). [Борис Левин. Блуждающие огни (1995)] [омонимия не снята]"
, [а-ля ,мексиканский вариант] А какой мексиканский вариант? ,1995,художественная,роман,[а-ля мексиканский вариант] А какой мексиканский вариант?  [Борис Левин. Блуждающие огни (1995)] [омонимия не снята]
Поэтому живопись «, а-ля ,"прима» всегда выглядит пустовато или этюдно, ",1913-1932,художественная,роман,"Поэтому живопись « а-ля прима» всегда выглядит пустовато или этюдно, глубокая же масляная живопись требует всегда сюжетов сильных, драматических или эпических. [В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)] [омонимия не снята]"
Живопись «, А-ля ,прима»   ,1913-1932,художественная,роман,Живопись « А-ля прима»    [В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)] [омонимия не снята]
Эти художники писали «, а-ля ,"прима», то есть сразу, и мне ",1913-1932,художественная,роман,"Эти художники писали « а-ля прима», то есть сразу, и мне тоже хотелось всего сразу, и я не мог себе представить, что на свете помешает мне получить все сразу, потому что войны окончились и на всем свете остались одни свои. [В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)] [омонимия не снята]"
хотел стать художником и писать «, а-ля ,прима».,1913-1932,художественная,роман,"Между прочим, я когда-то, давным-давно, в незапамятные времена, хотел стать художником и писать « а-ля прима». [В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)] [омонимия не снята]"
К верхней губе прилепились усики, а-ля ,Чарли Чаплин.,2002,"нехудожественная, публицистика",статья,"К верхней губе прилепились усики а-ля Чарли Чаплин. [Ирина Сумина. Кролик прикинулся шиншиллой. Какие меха будут в моде предстоящей зимой // «Известия», 2002.10.29] [омонимия не снята]"
всех любезно приглашали к столу, а-ля ,фуршет.,2002,"нехудожественная, публицистика",статья,"Отвязывалась только после того, как официальная часть заканчивалась, и всех любезно приглашали к столу а-ля фуршет. [Сергей Шерстенников. Французская буханка // «Автопилот», 2002.11.15] [омонимия не снята]"
А бутербродики со стола, а-ля ,"фуршет Пиф любила куда больше, чем ",2002,"нехудожественная, публицистика",статья,"А бутербродики со стола а-ля фуршет Пиф любила куда больше, чем пугливых банкиров.   [Сергей Шерстенников. Французская буханка // «Автопилот», 2002.11.15] [омонимия не снята]"
балетные скинут и давай выплясывать, а-ля ,натюрель.,2002,"нехудожественная, публицистика",мемуары,"Особливо когда его сиятельство знак им особый подаст ― так сейчас же пастушки его крепостные одежды свои балетные скинут и давай выплясывать а-ля натюрель. [Герард Васильев. Роли, которые нас выбирают (2002)] [омонимия не снята]"
