Left context;Center;Right context;Created;Type;Full context;Left_context_POS;Right_context_POS
Ну го́ль; как ;е́сть / по все́й фо́рме.;1964;художественный;Ну го́ль как е́сть / по все́й фо́рме. [Александр Островский, Константин Воинов. Женитьба Бальзаминова, к/ф (1964)] [омонимия не снята];NOUN;NOUN
То́ есть; как ;;1972;художественный;То́ есть ка́к?    [Александр Митта, Михаил Львовский. Точка, точка, запятая, к/ф (1972)] [омонимия не снята];INTJ;
Баржу́; как ;кру́тит! ;2005;художественный;Баржу́ ка́к кру́тит!  [Александр Вайнштейн, Алексей Герман мл., Олег Антонов. Гарпастум, к/ф (2005)] [омонимия не снята];UNKN;NOUN
то пото́м мы́ отде́льно договори́мся/; как ;да́льше бы́ть.  ;2012;разговорный;Е́сли мы́ с ва́ми не помести́мся в си́лу каки́х-то причи́н/ то пото́м мы́ отде́льно договори́мся/ ка́к да́льше бы́ть.   [А.С.Капто, Д.Б.Споров. Беседа Д.Б. Спорова с А.С. Капто (2012) // http://oralhistory.ru/] [омонимия не снята];VERB;NOUN
три́ направле́ния одновреме́нно/ и/ ви́димо/; как ;ра́з про́сто о́н идёт по нему́/ ;2013;научный;Да́/ по ли́нии/ спо́рта и тури́зма Сара́товской о́бласти у на́с три́ направле́ния одновреме́нно/ и/ ви́димо/ как ра́з про́сто о́н идёт по нему́/ о́н у на́с не вхо́дит в Обще́ственную пала́ту то́ есть/ и поэ́тому/ мо́жет быть/ да́же/ выпада́ет из на́шего по́ля зре́ния. [Александр Бречалов. Лекция о лидерах общественного мнения и молодежной политике в РАНХиГС (2013) // https://www.youtube.com/watch?v=CUkM4OhB4U8] [омонимия не снята];PRTS;NOUN
Ну ка́к ты́ де́лаешь батма́н!; как ;коря́га! ;1985;художественный;Ну ка́к ты́ де́лаешь батма́н! Как коря́га!  [Александр Бородянский, Карен Шахназаров. Зимний вечер в Гаграх, к/ф (1985)] [омонимия не снята];NOUN;NOUN
; как ;мо́жет бы́ть гру́стно- ску́чно / когда́ что́-то ;1984;художественный;Ка́к мо́жет бы́ть гру́стно- ску́чно / когда́ что́-то е́сть?  [Александр Костинский, Юрий Бутырин. По дороге с облаками, м/ф (1984)] [омонимия не снята];;VERB
Вы́ расска́жете все́м о то́м /; как ;поги́бли Эйна́р Му́дрый и да́тские ко́нунги ;1985;художественный;Вы́ расска́жете все́м о то́м / как поги́бли Эйна́р Му́дрый и да́тские ко́нунги А́тли и А́цур.   [Александр Александров, Геннадий Шумский, Кнут Андерсен, Станислав Ростоцкий. И на камнях растут деревья, к/ф (1985)] [омонимия не снята];NOUN;VERB
; как ;на что́? ;1968;художественный;Ка́к на что́?  [Александр Роу, Михаил Вольпин, Николай Эрдман. Огонь, вода и... медные трубы, к/ф (1968)] [омонимия не снята];;PREP
Мне́ ка́жется / что э́то; как ;соедине́ние дву́х хими́ческих веще́ств… в одно́ ;1968;художественный;Мне́ ка́жется / что э́то как соедине́ние дву́х хими́ческих веще́ств… в одно́ но́вое вещество́. [Александр Хмелик, Владимир Киселев, Ричард Викторов. Переходный возраст, к/ф (1968)] [омонимия не снята];ADJS;NOUN
приме́рно пяти́десяти челове́к/ таки́х подро́стков/; как ;я́/ зна́чит/ в це́нтре села́/ та́к ;2012;разговорный;Вот в числе́ где́-то приме́рно пяти́десяти челове́к/ таки́х подро́стков/ как я́/ зна́чит/ в це́нтре села́/ та́к сказа́ть/ была́ образо́вана така́я то́чка накопле́ния/ концентра́ции таки́х дете́й/ для после́дующей отпра́вки эшело́ном/ железнодоро́жным тра́нспортом. [А.С.Капто, Д.Б.Споров. Беседа Д.Б. Спорова с А.С. Капто (2012) // http://oralhistory.ru/] [омонимия не снята];NOUN;UNKN
Они́ живу́т/; как ;бы соверше́нно самостоя́тельно/ как во́т за́мкнутая ;2010;научный;Они́ живу́т/ как бы соверше́нно самостоя́тельно/ как во́т за́мкнутая в себе́ зага́дка― без ключа́. [Александр Махов. Средневековый демонологический бестиарий. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята];NOUN;PRCL
Я́ хочу́ зна́ть /; как ;живёт ва́ш наро́д!   ;1935;художественный;Я́ хочу́ зна́ть / ка́к живёт ва́ш наро́д!    [Александр Птушко, Самуил Болотин, Серафима Рошаль. Новый Гулливер, к/ф (1935)] [омонимия не снята];INFN;VERB
Часо́в в ше́сть утра́; как ;;2005;художественный;Часо́в в ше́сть утра́ ка́к?    [Александр Миндадзе, Алексей Учитель. Космос как предчувствие, к/ф (2005)] [омонимия не снята];UNKN;
; как ;аппара́т?   ;1973;художественный;Ка́к аппара́т?    [Александр Сацкий, Евгений Оноприенко, Леонид Быков. В бой идут одни «старики», к/ф (1973)] [омонимия не снята];;NOUN
Про́ст /; как ;пра́вда / угрю́м / как пала́ч.;2003;художественный;Про́ст / как пра́вда / угрю́м / как пала́ч. [Авдотья Смирнова, Алексей Учитель. Прогулка, к/ф (2003)] [омонимия не снята];NOUN;NOUN
То́ есть; как ;куда́? ;1962;художественный;То́ есть ка́к куда́?  [Александр Зархи, Василий Аксенов, Владимир Семаков, Михаил Анчаров. Мой младший брат, к/ф (1962)] [омонимия не снята];INTJ;UNKN
Вы́ чего́?; как ;тебе́ не сты́дно? ;1973;художественный;Вы́ чего́? Ка́к тебе́ не сты́дно?  [Александр Волков, Александр Кумма, Кирилл Малянтович. Волшебник Изумрудного города, м/ф (1973)] [омонимия не снята];UNKN;UNKN
А; как ;же? ;1976;художественный;А ка́к же?  [Александр Серый, Григорий Горин. Ты – мне, я – тебе, к/ф (1976)] [омонимия не снята];CONJ;PRCL
всё вы́полните / сообщу́ в шко́лу?; как ;ва́ши фами́лии?   ;1965;художественный;всё вы́полните / сообщу́ в шко́лу? Ка́к ва́ши фами́лии?    [Александр Володин, Александр Митта. Звонят, откройте дверь, к/ф (1965)] [омонимия не снята];NOUN;GRND
; как ;хо́чешь / та́к и понима́й.;1976;художественный;Ка́к хо́чешь / та́к и понима́й. [Александр Митта, Валерий Фрид, Юлий Дунский. Сказ про то, как царь Петр арапа женил, к/ф (1976)] [омонимия не снята];;VERB
приро́да всегда́ выступа́ет не то́лько; как ;проти́вник / но и ка́к… помо́щник в ;1973;художественный;Но я́ сказа́л пока́ / потому́ что приро́да всегда́ выступа́ет не то́лько как проти́вник / но и ка́к… помо́щник в достиже́нии на́ших це́лей. [Авенир Зак, Исай Кузнецов, Ричард Викторов. Москва–Кассиопея / к/ф (1973)] [омонимия не снята];NOUN;NOUN
Во́т послу́шаем сейча́с /; как ;она́ споёт / да́- да́- да́.;1934;художественный;Во́т послу́шаем сейча́с / ка́к она́ споёт / да́- да́- да́. [Александр Мачерет, Лев Славин. Частная жизнь Петра Виноградова, к/ф (1934)] [омонимия не снята];NOUN;UNKN
По́мнишь /; как ;нам бы́ло хорошо́?   ;1988;художественный;По́мнишь / ка́к нам бы́ло хорошо́?    [Александр Баранов, Бахыт Килибаев, Рашид Нугманов. Игла, к/ф (1988)] [омонимия не снята];VERB;NPRO
А́х во́т; как ;;1980;художественный;А́х во́т как. [Александр Алов, Владимир Наумов, Михаил Шатров. Тегеран-43, к/ф (1980)] [омонимия не снята];NOUN;
две с полови́ной ты́сячи лет; как ;раз об э́том говори́л.;2001;научный;Будда ещё две с полови́ной ты́сячи лет как раз об э́том говори́л. [Александр Клейн. Лекция А. Клейна «Интернет как элемент Пути», Москва (2001) // Интернет] [омонимия снята];NOUN;NOUN
И о́н; как ;тако́й хи́мик/ квалифици́рованный о́чень челове́к бы́л/ ;2012;разговорный;И о́н как тако́й хи́мик/ квалифици́рованный о́чень челове́к бы́л/ ну ка́к-то вот определя́л мои́ интере́сы в значи́тельной сте́пени. [А.Б.Зезин, Т.В.Богатова. Беседа Т.В. Богатовой с А.Б. Зезиным (Первая беседа) (2012) // http://oralhistory.ru/] [омонимия не снята];UNKN;VERB
страшное на меня начало накатывать?; как ;сама Светлана попала в Мир Туманного ;2000-2004;художественный;страшное на меня начало накатывать? Как сама Светлана попала в Мир Туманного Кольца?  [Александр Филатов. Радиопрограмма «Полнолуние» о ролевой музыке, «Радио-Пик» (2000-2004) // Из коллекции НКРЯ] [омонимия не снята];INFN;ADJF
О́й /; как ;до́лго э́та зима́ тя́нется.;1977;художественный;О́й / как до́лго э́та зима́ тя́нется. [Александр Адабашьян, Антон Чехов, Никита Михалков. Неоконченная пьеса для механического пианино, к/ф (1977)] [омонимия не снята];UNKN;ADVB
звуча́ла ра́за 2 и́ли 3/; как ;ми́нимум.;2000-2004;художественный;"Ещё э́ту пе́сню исполня́ла неоднокра́тно О́льга Афраймович / на конце́ртах "" Полнолу́ния"" она́ звуча́ла ра́за 2 и́ли 3/ как ми́нимум. [Александр Филатов. Радиопрограмма «Полнолуние», посвященная авторской песне Е. Болдыревой, «Радио-Пик», Иркутск (2000-2004) // Интернет] [омонимия снята]";NUMB;NOUN
Сле́дующая пе́сня; как ;раз о подо́бном перерожде́нии…  ;2000-2004;художественный;Сле́дующая пе́сня как раз о подо́бном перерожде́нии…   [Александр Филатов. Радиопрограмма «Полнолуние», посвященная авторской песне Е. Болдыревой, «Радио-Пик», Иркутск (2000-2004) // Интернет] [омонимия снята];GRND;NOUN
А; как ;же мы́ помолоде́ем?   ;1964;художественный;А ка́к же мы́ помолоде́ем?    [Александр Птушко, Владимир Лифшиц, Евгений Шварц. Сказка о потерянном времени, к/ф (1964)] [омонимия не снята];CONJ;PRCL
; как ;сказа́л ещё оди́н изве́стный а́втор / моско́вский ;2000-2004;художественный;"Как сказа́л ещё оди́н изве́стный а́втор / моско́вский а́втор на э́тот раз / Миха́ил Щербаков / "" Чего́ бо́яться нам тюрьмы́ / тоски́ / уще́рба очагу́ / вреда́ здоро́вью / ведь э́то всё таки́е пустяки́ в сравне́нии со сме́ртью и любо́вью"". [Александр Филатов. Радиопрограмма «Полнолуние», посвященная авторской песне Е. Болдыревой, «Радио-Пик», Иркутск (2000-2004) // Интернет] [омонимия снята]";;VERB
Разры́вы; словно ;желе́зный ве́тер.;1973;художественный;Разры́вы сло́вно желе́зный ве́тер. [Алексей Коренев, Георгий Садовников. Большая перемена, к/ф (1973)] [омонимия не снята];NOUN;ADJF
; словно ;ди́кого быка́ / За рога́ беру́ уда́чу! ;1973;художественный;Сло́вно ди́кого быка́ / За рога́ беру́ уда́чу!  [Татьяна Лиознова, Юлиан Семенов. Семнадцать мгновений весны, к/ф (1973)] [омонимия не снята];;ADJF
То́лько бу́дут но́жики; словно ;ре́зать но́-жки́.;2006;художественный;То́лько бу́дут но́жики сло́вно ре́зать но́-жки́. [Владимир Пресняков, Кирилл Серебренников, Олег Пресняков. Изображая жертву, к/ф (2006)] [омонимия не снята];NOUN;INFN
Но э́того бы́ло доста́точно!; словно ;уда́р мо́лнии! ;1956;художественный;Но э́того бы́ло доста́точно! Сло́вно уда́р мо́лнии!  [Василий Ордынский, Лев Агранович. Человек родился, к/ф (1956)] [омонимия не снята];ADVB;NOUN
Ты́; словно ;с цепи́ сорва́лся! ;1984;художественный;Ты́ сло́вно с цепи́ сорва́лся!  [Владимир Алеников. Каникулы Петрова и Васечкина, обыкновенные и невероятные, к/ф (1984)] [омонимия не снята];UNKN;PREP
Мя́ч; словно ;прилипа́л к её раке́тке.;1981;художественный;Мя́ч сло́вно прилипа́л к её раке́тке. [Владимир Валуцкий, Игорь Масленников, Конан Дойль Артур, Юлий Дунский. Приключения Шерлока Холмса и доктора Ватсона. Собака Баскервилей, к/ф (1981)] [омонимия не снята];NOUN;VERB
окну́ и уви́дел / как ме́дленно /; словно ;не́хотя / вода́ начина́ет отступа́ть.;1997;художественный;О́н подошёл к окну́ и уви́дел / как ме́дленно / сло́вно не́хотя / вода́ начина́ет отступа́ть. [Валерий Чиков. Не валяй дурака..., к/ф (1997)] [омонимия не снята];ADJS;GRND
Ты́ ведёшь себя́ в па́рке /; словно ;ста́рший прика́зчик в колониа́льной ла́вке « Хре́нов ;1972;художественный;Ты́ ведёшь себя́ в па́рке / сло́вно ста́рший прика́зчик в колониа́льной ла́вке « Хре́нов и сыновья́». [Евгений Габрилович, Илья Авербах. Монолог, к/ф (1972)] [омонимия не снята];NOUN;ADJF
Во́т и ле́то прошло́ /; словно ;и не быва́ло.;1978;художественный;Во́т и ле́то прошло́ / Сло́вно и не быва́ло. [Александр Цагарели, Борис Рацер, Владимир Константинов, Георгий Товстоногов, Юрий Аксенов. Ханума (телеспектакль) (1978)] [омонимия не снята];UNKN;CONJ
Когда́ и́х приподни́мешь вдру́г / И /; словно ;мо́лнией небе́сной / Оки́нешь бе́гло це́лый кру́г.  ;1978;художественный;Люблю́ глаза́ твои́ / мо́й дру́г / С игро́й и́х пла́менно- чуде́сной / Когда́ и́х приподни́мешь вдру́г / И / сло́вно мо́лнией небе́сной / Оки́нешь бе́гло це́лый кру́г.   [Александр Цагарели, Борис Рацер, Владимир Константинов, Георгий Товстоногов, Юрий Аксенов. Ханума (телеспектакль) (1978)] [омонимия не снята];CONJ;NOUN
Вои́стину / на́м Ва́с; словно ;Бо́г посла́л.  ;1993;художественный;Вои́стину / на́м Ва́с сло́вно Бо́г посла́л.   [Иван Щеголев, Лев Корсунский. Американский дедушка, к/ф (1993)] [омонимия не снята];NOUN;NOUN
женихо́в И в деви́цах засиде́лась /; словно ;тётушка Ине́с.  ;1967-1971;художественный;Отверга́ла женихо́в И в деви́цах засиде́лась / Сло́вно тётушка Ине́с.   [Джозеф Редьярд Киплинг, Леонид Белокуров, Нина Дарузес, Роман Давыдов. Маугли, м/ф (1967-1971)] [омонимия не снята];VERB;NOUN
ну ка́к ты её целу́ешь!; словно ;ты́ бои́шься ско́мкать её оде́жду! ;1964;художественный;ну ка́к ты её целу́ешь! Сло́вно ты́ бои́шься ско́мкать её оде́жду!  [Борис Пастернак, Григорий Козинцев, Уильям Шекспир. Гамлет, к/ф (1964)] [омонимия не снята];VERB;UNKN
Иди́ сюда́…; словно ;;1964;художественный;Иди́ сюда́… Сло́вно… [Борис Пастернак, Григорий Козинцев, Уильям Шекспир. Гамлет, к/ф (1964)] [омонимия не снята];UNKN;
Слу́шай!; словно ;твои́ ко́сти та́ют от прикоснове́ния! ;1964;художественный;Слу́шай! Сло́вно твои́ ко́сти та́ют от прикоснове́ния!  [Борис Пастернак, Григорий Козинцев, Уильям Шекспир. Гамлет, к/ф (1964)] [омонимия не снята];VERB;UNKN
; словно ;;1964;художественный;Сло́вно… [Борис Пастернак, Григорий Козинцев, Уильям Шекспир. Гамлет, к/ф (1964)] [омонимия не снята];;
Слу́шай!; словно ;твои́ ко́сти та́ют от прикоснове́ния! ;1964;художественный;Слу́шай! Сло́вно твои́ ко́сти та́ют от прикоснове́ния!  [Борис Пастернак, Григорий Козинцев, Уильям Шекспир. Гамлет, к/ф (1964)] [омонимия не снята];VERB;UNKN
Еди́м чёрт зна́ет что́ / пьём; словно ;зве́ри из ручья́! ;1989;художественный;Еди́м чёрт зна́ет что́ / пьём сло́вно зве́ри из ручья́!  [Адольф д’Эннери, Жан-Поль Дюмануар, Михаил Донской, Ян Фрид. Дон Сезар де Базан, к/ф (1989)] [омонимия не снята];VERB;VERB
Она́ провиса́ла /; словно ; сло́вно рези́нка / проде́рнутая в неё / ло́пнула.;1978;художественный;Она́ провиса́ла / сло́вно… сло́вно рези́нка / проде́рнутая в неё / ло́пнула. [Александр Хмелик, Михаил Козаков. Безымянная звезда, к/ф (1978)] [омонимия не снята];VERB;ADJS
и о́ба / возвыша́ются над ни́м; словно ;два́ сугро́ба.  ;1980;художественный;У верблю́да два́ горба́, два́ горба́ и о́ба / возвыша́ются над ни́м сло́вно два́ сугро́ба.   [Сергей Соловьев. Спасатель, к/ф (1980)] [омонимия не снята];NOUN;UNKN
У марты́шки две́ щеки́,; словно ;два́ карма́на.  ;1980;художественный;У марты́шки две́ щеки́, сло́вно два́ карма́на.   [Сергей Соловьев. Спасатель, к/ф (1980)] [омонимия не снята];UNKN;UNKN
хва́тит на пти́чьем языке́ разгова́ривать!; словно ;как не ру́сские! ;1993;художественный;хва́тит на пти́чьем языке́ разгова́ривать! Сло́вно как не ру́сские!  [Дмитрий Астрахан, Олег Данилов. Ты у меня одна, к/ф (1993)] [омонимия не снята];INFN;CONJ
Почему́ мне́ хо́чется вы́ть /; словно ;я́ промахну́лся на охо́те?   ;1973;художественный;Почему́ мне́ хо́чется вы́ть / сло́вно я́ промахну́лся на охо́те?    [Мария Халфина, Олег Бондарев, Эдгар Смирнов. Мачеха, к/ф (1973)] [омонимия не снята];INFN;UNKN
я́ не хочу́ / но меня́; словно ;тя́нет что́-то.  ;1973;художественный;Я́ не хочу́… я́ не хочу́ / но меня́ сло́вно тя́нет что́-то.   [Мария Халфина, Олег Бондарев, Эдгар Смирнов. Мачеха, к/ф (1973)] [омонимия не снята];UNKN;VERB
Льди́ны перека́тывались одна́ че́рез другу́ю/; словно ;гребешки́ во́лн.;1969;художественный;Льди́ны перека́тывались одна́ че́рез другу́ю/ сло́вно гребешки́ во́лн. [Александр Роу. Варвара-краса, длинная коса, к/ф (1969)] [омонимия не снята];VERB;UNKN
Я́ могу́ жени́ться / фотогра́фия; словно ;бы сгоре́ла.;1972;художественный;Я́ могу́ жени́ться / фотогра́фия сло́вно бы сгоре́ла. [Наум Бирман, Эмиль Брагинский. Учитель пения, к/ф (1972)] [омонимия не снята];NOUN;PRCL
Ти́хие/ зага́дочные/; словно ;забы́вшиеся в моли́тве.;1960;художественный;Ти́хие/ зага́дочные/ сло́вно забы́вшиеся в моли́тве. [Владимир Венгеров, Николай Чуковский. Балтийское небо, к/ф (1960)] [омонимия не снята];ADJF;ADJF
толпе́ встре́тишься / с челове́ческим / и; словно ;причасти́лся.;1981;художественный;Ну не получа́ется что́-нибу̀дь или уста́л / наму́чился / и вдру́г с чьи́м-то взгля́дом в толпе́ встре́тишься / с челове́ческим / и сло́вно причасти́лся. [Валерий Фрид, Юлий Гусман, Юлий Дунский. Не бойся, я с тобой!, к/ф (1981)] [омонимия не снята];CONJ;VERB
без размётки та́к и ре́жет /; словно ;пти́ца поёт.;1981;художественный;Да ведь э́т то́лько Митя́й та́к и мо́жет. Пря́м без размётки та́к и ре́жет / сло́вно пти́ца поёт. [Валерий Фрид, Юлий Гусман, Юлий Дунский. Не бойся, я с тобой!, к/ф (1981)] [омонимия не снята];VERB;NOUN
; словно ;ма́ленькие длинноно́гие насеко́мые / Му́ми- тро́лль / Сни́ф ;1987;художественный;Сло́вно ма́ленькие длинноно́гие насеко́мые / Му́ми- тро́лль / Сни́ф и Сну̀сму́мрик уходи́ли в глу́бь вы́сохшего мо́ря.   [Алла Сурикова, Эдуард Акопов. Человек с бульвара Капуцинов, к/ф (1987)] [омонимия не снята];;ADJF
А́нна Бога́лий / вот та́к /; словно ;кры́лья у неё за спино́й вы́росли / ;1957;художественный;А́нна Бога́лий / вот та́к / сло́вно кры́лья у неё за спино́й вы́росли / побежа́ла туда́ вни́з сейча́с. [Григорий Козинцев, Евгений Шварц, Сааведра Мигель Сервантес. Дон Кихот, к/ф (1957)] [омонимия не снята];NOUN;NOUN
; словно ;услы́шали мои́ слова́ о то́м / как ;1940;художественный;Сло́вно услы́шали мои́ слова́ о то́м / как о́н игра́л на Олимпиа́де в девяно́сто четвёртом году́. [Александр Мачерет, Юрий Олеша. Ошибка инженера Кочина, к/ф (1940)] [омонимия не снята];;NOUN
На́ши /; словно ;не ви́дят Ма́ркова / продолжа́ют раска́тывать по ;1940;художественный;На́ши / сло́вно не ви́дят Ма́ркова / продолжа́ют раска́тывать по зо́не. [Александр Мачерет, Юрий Олеша. Ошибка инженера Кочина, к/ф (1940)] [омонимия не снята];GRND;PRCL
он подро́с / то в него́; словно ;бе́с всели́лся! ;1991;художественный;а когда́ он подро́с / то в него́ сло́вно бе́с всели́лся!  [Алла Сурикова, Владимир Кунин, Ким Рыжов. Чокнутые, к/ф (1991)] [омонимия не снята];UNKN;NOUN
Мы́ зде́сь с Ва́тсоном… э́…; словно ;как в порохово́м по́гребе живём.  ;1991;художественный;Мы́ зде́сь с Ва́тсоном… э́… сло́вно как в порохово́м по́гребе живём.   [Алла Сурикова, Владимир Кунин, Ким Рыжов. Чокнутые, к/ф (1991)] [омонимия не снята];UNKN;CONJ
мы́ пребыва́ли дру́г во́зле дру́га/; словно ;родны́е.  ;2004;художественный;Снотво́рной сы́ростью обдава́л на́с обо́их неподви́жный тума́н/ и погружённые в одина́ковую/ бессозна́тельную ду́му/ мы́ пребыва́ли дру́г во́зле дру́га/ сло́вно родны́е.   [Алиса Танская, Дмитрий Троицкий, Ольга Столповская. Я люблю тебя, к/ф (2004)] [омонимия не снята];NOUN;NOUN
утиха́л и прислоня́лся ко мне́/; словно ;к родно́му.  ;2004;художественный;Все́ мы́ де́ти одно́й ма́тери ― и мне́ бы́ло прия́тно/ что бе́дный зверёк та́к дове́рчиво утиха́л и прислоня́лся ко мне́/ сло́вно к родно́му.   [Алиса Танская, Дмитрий Троицкий, Ольга Столповская. Я люблю тебя, к/ф (2004)] [омонимия не снята];UNKN;PREP
дави́ла безмо́лвную зе́млю… и то́лько; словно ;пу́хла да темне́ла.  ;2004;художественный;Она́ по-пре́жнему дави́ла безмо́лвную зе́млю… и то́лько сло́вно пу́хла да темне́ла.   [Алиса Танская, Дмитрий Троицкий, Ольга Столповская. Я люблю тебя, к/ф (2004)] [омонимия не снята];NOUN;VERB
как бе́шеный/ мча́тся ры́жие/ ни́зкие/; словно ;в кло́чья разо́рванные облака́/ всё закрути́лось/ ;2004;художественный;Визжи́т ве́тер/ ме́чется как бе́шеный/ мча́тся ры́жие/ ни́зкие/ сло́вно в кло́чья разо́рванные облака́/ всё закрути́лось/ смеша́лось/ захлеста́л/ закача́лся отве́сными столба́ми рья́ный ли́вень/ мо́лнии слепя́т огни́стой зе́ленью/ стреля́ет как из пу́шки отры́вистый гро́м/ запа́хло се́рой…   [Алиса Танская, Дмитрий Троицкий, Ольга Столповская. Я люблю тебя, к/ф (2004)] [омонимия не снята];NOUN;PREP
быть / ка́мни в люде́й кида́ть.; словно ;тя́жесть кака́я-то.;1971;художественный;быть / ка́мни в люде́й кида́ть. Сло́вно тя́жесть кака́я-то. [Андрей Тарковский, Андрон Михалков-Кончаловский. Андрей Рублев, к/ф (1971)] [омонимия не снята];INFN;NOUN
И́шь как голово́й бода́ется.; словно ;ко́нь.;1976;художественный;И́шь как голово́й бода́ется. Сло́вно ко́нь. [Владимир Меньшов, Семен Лунгин. Розыгрыш, к/ф (1976)] [омонимия не снята];VERB;NOUN
О́н рапорту́ет /; словно ;арти́ст опере́тты / го́лосом из живота́ и ;1976;художественный;О́н рапорту́ет / сло́вно арти́ст опере́тты / го́лосом из живота́ и с я́вным жела́нием понра́виться.   [Владимир Меньшов, Семен Лунгин. Розыгрыш, к/ф (1976)] [омонимия не снята];VERB;NOUN
Вы́; словно ;о́боротень.;1976;художественный;Вы́ сло́вно о́боротень. [Владимир Меньшов, Семен Лунгин. Розыгрыш, к/ф (1976)] [омонимия не снята];UNKN;NOUN
Э́то Шти́рлиц вы́вел для себя́ /; словно ;математи́ческое доказа́тельство.;1976;художественный;Э́то Шти́рлиц вы́вел для себя́ / сло́вно математи́ческое доказа́тельство. [Владимир Меньшов, Семен Лунгин. Розыгрыш, к/ф (1976)] [омонимия не снята];UNKN;ADJF
Что́ вы /; словно ;ма́льчик / пуска́ете тума́н? ;1976;художественный;Что́ вы / сло́вно ма́льчик / пуска́ете тума́н?  [Владимир Меньшов, Семен Лунгин. Розыгрыш, к/ф (1976)] [омонимия не снята];NPRO;NOUN
О́н; словно ;предо мно́й.  ;1979;художественный;О́н сло́вно предо мно́й.   [Евгений Велтистов, Константин Бромберг. Приключения Электроника, к/ф (1979)] [омонимия не снята];UNKN;PREP
О́н; словно ;ко́лос / поражённый спорыньёю / В сосе́дстве с ;1979;художественный;О́н словно ко́лос / поражённый спорыньёю / В сосе́дстве с чи́стым. [Евгений Велтистов, Константин Бромберг. Приключения Электроника, к/ф (1979)] [омонимия не снята];UNKN;ADJS
е́сли в ослепле́ньи Смета́ете вы́ /; словно ;ку́чу ка́рт / Врага́ и дру́га / пра́вых ;1979;художественный;Ка́к сде́лать э́то / е́сли в ослепле́ньи Смета́ете вы́ / словно ку́чу ка́рт / Врага́ и дру́га / пра́вых и непра́вых?    [Евгений Велтистов, Константин Бромберг. Приключения Электроника, к/ф (1979)] [омонимия не снята];UNKN;VERB
Ча́йный до́мик /; словно ;бонбонье́рка / Утопа́л среди́ цвету́щих ро́з.;1941;художественный;Ча́йный до́мик / сло́вно бонбонье́рка / Утопа́л среди́ цвету́щих ро́з. [Виктор Гусев, Иван Пырьев. Свинарка и пастух, к/ф (1941)] [омонимия не снята];NOUN;NOUN
Круго́м моро́з / бело́ /; словно ;колдовство́.;1977;художественный;Круго́м моро́з / бело́ / сло́вно колдовство́. [Антон Чехов, Михаил Швейцер. Смешные люди!, к/ф (1977)] [омонимия не снята];UNKN;UNKN
Петру́шечка / ну ты́; словно ;ба́бочка / вы́лупившаяся из ко́кона.  ;1944;художественный;Петру́шечка / ну ты́ сло́вно ба́бочка / вы́лупившаяся из ко́кона.   [Виктор Гусев, Иван Пырьев. В шесть часов вечера после войны, к/ф (1944)] [омонимия не снята];UNKN;NOUN
Доро́жка широ́кая- широ́кая / а мы́; словно ;по у́зкой идём.;1977;художественный;Доро́жка широ́кая- широ́кая / а мы́ сло́вно по у́зкой идём. [Лопе де Вена, Михаил Донской, Михаил Лозинский, Ян Фрид. Собака на сене, к/ф (1977)] [омонимия не снята];UNKN;PREP
ле́то / когда́ хо́дишь по земле́ /; словно ;лета́ешь по́ небу.;1990-2004;художественный;Наве́рное / у ка́ждого в жи́зни быва́ет тако́е ле́то / когда́ хо́дишь по земле́ / сло́вно лета́ешь по́ небу. [Ф.А. Искандер. Пастух и косуля (1990-2004) // ImWerden] [омонимия не снята];UNKN;VERB
в дома́х тепло́ и ую́тно /; словно ;не́т зимы́… словно не́т зимы́.;1941;художественный;А в дома́х тепло́ и ую́тно / словно не́т зимы́… словно не́т зимы́. [Александр Роу, Альберт Гельденштейн, Климентий Минц, Леонид Альцев, Рафаил Перельштейн, Сергей Юткевич. Боевой киносборник № 7, к/ф (1941)] [омонимия не снята];ADJS;NOUN
Всё равно́ сты́дно.; словно ;продаёшь свою́ со́весть по мелоча́м.;1953;художественный;Всё равно́ сты́дно. Сло́вно продаёшь свою́ со́весть по мелоча́м. [Александр Штейн, Михаил Ромм. Адмирал Ушаков, к/ф (1953)] [омонимия не снята];NOUN;VERB
Ты́ что́.; словно ;опя́ть тебя́ кто́ укуси́л.;1953;художественный;Ты́ что́. Сло́вно опя́ть тебя́ кто́ укуси́л. [Александр Штейн, Михаил Ромм. Адмирал Ушаков, к/ф (1953)] [омонимия не снята];UNKN;INFN
Ты́ и́м; словно ;ве́тер / Гла́шенька / ве́тер весе́нний / ла́сковый.  ;1987;художественный;Ты́ и́м сло́вно ве́тер / Гла́шенька / ве́тер весе́нний / ла́сковый.   [Нина Соротокина, Светлана Дружинина, Юрий Нагибин. Гардемарины, вперед!, к/ф (1987)] [омонимия не снята];UNKN;VERB
Пове́рьте / душа́ моя́; словно ;цвето́к на лугу́.  ;1987;художественный;Пове́рьте / душа́ моя́ сло́вно цвето́к на лугу́.   [Нина Соротокина, Светлана Дружинина, Юрий Нагибин. Гардемарины, вперед!, к/ф (1987)] [омонимия не снята];UNKN;NOUN
